Claves válidas para un alfabeto de tamaño n = 27
------------------------------
a          b          a^-1      
------------------------------
1          0          1         
1          1          1         
1          2          1         
1          3          1         
1          4          1         
1          5          1         
1          6          1         
1          7          1         
1          8          1         
1          9          1         
1          10         1         
1          11         1         
1          12         1         
1          13         1         
1          14         1         
1          15         1         
1          16         1         
1          17         1         
1          18         1         
1          19         1         
1          20         1         
1          21         1         
1          22         1         
1          23         1         
1          24         1         
1          25         1         
1          26         1         
2          0          14        
2          1          14        
2          2          14        
2          3          14        
2          4          14        
2          5          14        
2          6          14        
2          7          14        
2          8          14        
2          9          14        
2          10         14        
2          11         14        
2          12         14        
2          13         14        
2          14         14        
2          15         14        
2          16         14        
2          17         14        
2          18         14        
2          19         14        
2          20         14        
2          21         14        
2          22         14        
2          23         14        
2          24         14        
2          25         14        
2          26         14        
4          0          7         
4          1          7         
4          2          7         
4          3          7         
4          4          7         
4          5          7         
4          6          7         
4          7          7         
4          8          7         
4          9          7         
4          10         7         
4          11         7         
4          12         7         
4          13         7         
4          14         7         
4          15         7         
4          16         7         
4          17         7         
4          18         7         
4          19         7         
4          20         7         
4          21         7         
4          22         7         
4          23         7         
4          24         7         
4          25         7         
4          26         7         
5          0          11        
5          1          11        
5          2          11        
5          3          11        
5          4          11        
5          5          11        
5          6          11        
5          7          11        
5          8          11        
5          9          11        
5          10         11        
5          11         11        
5          12         11        
5          13         11        
5          14         11        
5          15         11        
5          16         11        
5          17         11        
5          18         11        
5          19         11        
5          20         11        
5          21         11        
5          22         11        
5          23         11        
5          24         11        
5          25         11        
5          26         11        
7          0          4         
7          1          4         
7          2          4         
7          3          4         
7          4          4         
7          5          4         
7          6          4         
7          7          4         
7          8          4         
7          9          4         
7          10         4         
7          11         4         
7          12         4         
7          13         4         
7          14         4         
7          15         4         
7          16         4         
7          17         4         
7          18         4         
7          19         4         
7          20         4         
7          21         4         
7          22         4         
7          23         4         
7          24         4         
7          25         4         
7          26         4         
8          0          17        
8          1          17        
8          2          17        
8          3          17        
8          4          17        
8          5          17        
8          6          17        
8          7          17        
8          8          17        
8          9          17        
8          10         17        
8          11         17        
8          12         17        
8          13         17        
8          14         17        
8          15         17        
8          16         17        
8          17         17        
8          18         17        
8          19         17        
8          20         17        
8          21         17        
8          22         17        
8          23         17        
8          24         17        
8          25         17        
8          26         17        
10         0          19        
10         1          19        
10         2          19        
10         3          19        
10         4          19        
10         5          19        
10         6          19        
10         7          19        
10         8          19        
10         9          19        
10         10         19        
10         11         19        
10         12         19        
10         13         19        
10         14         19        
10         15         19        
10         16         19        
10         17         19        
10         18         19        
10         19         19        
10         20         19        
10         21         19        
10         22         19        
10         23         19        
10         24         19        
10         25         19        
10         26         19        
11         0          5         
11         1          5         
11         2          5         
11         3          5         
11         4          5         
11         5          5         
11         6          5         
11         7          5         
11         8          5         
11         9          5         
11         10         5         
11         11         5         
11         12         5         
11         13         5         
11         14         5         
11         15         5         
11         16         5         
11         17         5         
11         18         5         
11         19         5         
11         20         5         
11         21         5         
11         22         5         
11         23         5         
11         24         5         
11         25         5         
11         26         5         
13         0          25        
13         1          25        
13         2          25        
13         3          25        
13         4          25        
13         5          25        
13         6          25        
13         7          25        
13         8          25        
13         9          25        
13         10         25        
13         11         25        
13         12         25        
13         13         25        
13         14         25        
13         15         25        
13         16         25        
13         17         25        
13         18         25        
13         19         25        
13         20         25        
13         21         25        
13         22         25        
13         23         25        
13         24         25        
13         25         25        
13         26         25        
14         0          2         
14         1          2         
14         2          2         
14         3          2         
14         4          2         
14         5          2         
14         6          2         
14         7          2         
14         8          2         
14         9          2         
14         10         2         
14         11         2         
14         12         2         
14         13         2         
