Claves válidas para un alfabeto de tamaño n = 21
------------------------------
a          b          a^-1      
------------------------------
1          0          1         
1          1          1         
1          2          1         
1          3          1         
1          4          1         
1          5          1         
1          6          1         
1          7          1         
1          8          1         
1          9          1         
1          10         1         
1          11         1         
1          12         1         
1          13         1         
1          14         1         
1          15         1         
1          16         1         
1          17         1         
1          18         1         
1          19         1         
1          20         1         
2          0          11        
2          1          11        
2          2          11        
2          3          11        
2          4          11        
2          5          11        
2          6          11        
2          7          11        
2          8          11        
2          9          11        
2          10         11        
2          11         11        
2          12         11        
2          13         11        
2          14         11        
2          15         11        
2          16         11        
2          17         11        
2          18         11        
2          19         11        
2          20         11        
4          0          16        
4          1          16        
4          2          16        
4          3          16        
4          4          16        
4          5          16        
4          6          16        
4          7          16        
4          8          16        
4          9          16        
4          10         16        
4          11         16        
4          12         16        
4          13         16        
4          14         16        
4          15         16        
4          16         16        
4          17         16        
4          18         16        
4          19         16        
4          20         16        
5          0          17        
5          1          17        
5          2          17        
5          3          17        
5          4          17        
5          5          17        
5          6          17        
5          7          17        
5          8          17        
5          9          17        
5          10         17        
5          11         17        
5          12         17        
5          13         17        
5          14         17        
5          15         17        
5          16         17        
5          17         17        
5          18         17        
5          19         17        
5          20         17        
8          0          8         
8          1          8         
8          2          8         
8          3          8         
8          4          8         
8          5          8         
8          6          8         
8          7          8         
8          8          8         
8          9          8         
8          10         8         
8          11         8         
8          12         8         
8          13         8         
8          14         8         
8          15         8         
8          16         8         
8          17         8         
8          18         8         
8          19         8         
8          20         8         
10         0          19        
10         1          19        
10         2          19        
10         3          19        
10         4          19        
10         5          19        
10         6          19        
10         7          19        
10         8          19        
10         9          19        
10         10         19        
10         11         19        
10         12         19        
10         13         19        
10         14         19        
10         15         19        
10         16         19        
10         17         19        
10         18         19        
10         19         19        
10         20         19        
11         0          2         
11         1          2         
11         2          2         
11         3          2         
11         4          2         
11         5          2         
11         6          2         
11         7          2         
11         8          2         
11         9          2         
11         10         2         
11         11         2         
11         12         2         
11         13         2         
11         14         2         
11         15         2         
11         16         2         
11         17         2         
11         18         2         
11         19         2         
11         20         2         
13         0          13        
13         1          13        
13         2          13        
13         3          13        
13         4          13        
13         5          13        
13         6          13        
13         7          13        
13         8          13        
13         9          13        
13         10         13        
13         11         13        
13         12         13        
13         13         13        
13         14         13        
13         15         13        
13         16         13        
13         17         13        
13         18         13        
13         19         13        
13         20         13        
16         0          4         
16         1          4         
16         2          4         
16         3          4         
16         4          4         
16         5          4         
16         6          4         
16         7          4         
16         8          4         
16         9          4         
16         10         4         
16         11         4         
16         12         4         
16         13         4         
16         14         4         
16         15         4         
16         16         4         
16         17         4         
16         18         4         
16         19         4         
16         20         4         
17         0          5         
17         1          5         
17         2          5         
17         3          5         
17         4          5         
17         5          5         
17         6          5         
17         7          5         
17         8          5         
17         9          5         
17         10         5         
17         11         5         
17         12         5         
17         13         5         
17         14         5         
17         15         5         
17         16         5         
17         17         5         
17         18         5         
17         19         5         
17         20         5         
19         0          10        
19         1          10        
19         2          10        
19         3          10        
19         4          10        
19         5          10        
19         6          10        
19         7          10        
19         8          10        
19         9          10        
19         10         10        
19         11         10        
19         12         10        
19         13         10        
19         14         10        
19         15         10        
19         16         10        
19         17         10        
19         18         10        
19         19         10        
19         20         10        
20         0          20        
20         1          20        
20         2          20        
20         3          20        
20         4          20        
20         5          20        
20         6          20        
20         7          20        
20         8          20        
20         9          20        
20         10         20        
20         11         20        
20         12         20        
20         13         20        
20         14         20        
20         15         20        
20         16         20        
20         17         20        
20         18         20        
20         19         20        
20         20         20        
